256				
2080				
2080				
45	130	85	85	0
45	390	85	85	1
45	650	85	85	2
45	910	85	85	3
45	1170	85	85	4
45	1430	85	85	5
45	1690	85	85	6
45	1950	85	85	7
175	0	85	85	8
175	260	85	85	9
175	520	85	85	10
175	780	85	85	11
175	1040	85	85	12
175	1300	85	85	13
175	1560	85	85	14
175	1820	85	85	15
305	130	85	85	16
305	390	85	85	17
305	650	85	85	18
305	910	85	85	19
305	1170	85	85	20
305	1430	85	85	21
305	1690	85	85	22
305	1950	85	85	23
435	0	85	85	24
435	260	85	85	25
435	520	85	85	26
435	780	85	85	27
435	1040	85	85	28
435	1300	85	85	29
435	1560	85	85	30
435	1820	85	85	31
565	130	85	85	32
565	390	85	85	33
565	650	85	85	34
565	910	85	85	35
565	1170	85	85	36
565	1430	85	85	37
565	1690	85	85	38
565	1950	85	85	39
695	0	85	85	40
695	260	85	85	41
695	520	85	85	42
695	780	85	85	43
695	1040	85	85	44
695	1300	85	85	45
695	1560	85	85	46
695	1820	85	85	47
825	130	85	85	48
825	390	85	85	49
825	650	85	85	50
825	910	85	85	51
825	1170	85	85	52
825	1430	85	85	53
825	1690	85	85	54
825	1950	85	85	55
955	0	85	85	56
955	260	85	85	57
955	520	85	85	58
955	780	85	85	59
955	1040	85	85	60
955	1300	85	85	61
955	1560	85	85	62
955	1820	85	85	63
1085	130	85	85	64
1085	390	85	85	65
1085	650	85	85	66
1085	910	85	85	67
1085	1170	85	85	68
1085	1430	85	85	69
1085	1690	85	85	70
1085	1950	85	85	71
1215	0	85	85	72
1215	260	85	85	73
1215	520	85	85	74
1215	780	85	85	75
1215	1040	85	85	76
1215	1300	85	85	77
1215	1560	85	85	78
1215	1820	85	85	79
1345	130	85	85	80
1345	390	85	85	81
1345	650	85	85	82
1345	910	85	85	83
1345	1170	85	85	84
1345	1430	85	85	85
1345	1690	85	85	86
1345	1950	85	85	87
1475	0	85	85	88
1475	260	85	85	89
1475	520	85	85	90
1475	780	85	85	91
1475	1040	85	85	92
1475	1300	85	85	93
1475	1560	85	85	94
1475	1820	85	85	95
1605	130	85	85	96
1605	390	85	85	97
1605	650	85	85	98
1605	910	85	85	99
1605	1170	85	85	100
1605	1430	85	85	101
1605	1690	85	85	102
1605	1950	85	85	103
1735	0	85	85	104
1735	260	85	85	105
1735	520	85	85	106
1735	780	85	85	107
1735	1040	85	85	108
1735	1300	85	85	109
1735	1560	85	85	110
1735	1820	85	85	111
1865	130	85	85	112
1865	390	85	85	113
1865	650	85	85	114
1865	910	85	85	115
1865	1170	85	85	116
1865	1430	85	85	117
1865	1690	85	85	118
1865	1950	85	85	119
1995	0	85	85	120
1995	260	85	85 121
1995	520	85	85	122
1995	780	85	85	123
1995	1040	85	85	124
1995	1300	85	85	125
1995	1560	85	85	126
1995	1820	85	85	127
